Designation In English,المسمى الوظيفي بالإنجليزي
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop","في حال تم إعطاء المستخدم أي صلاحيات، يصبح نوع المستخدم ""مستخدم النظام"". ""مستخدم النظام"" لديه حق الوصول إلى سطح المكتب"
System User,مستخدم النظام
Website User,مستخدم الموقع
Allow user to login only after this hour (0-24),السماح للمستخدم بتسجيل الدخول فقط بعد هذه الساعة (0-24)
Allow user to login only before this hour (0-24),السماح للمستخدم بتسجيل الدخول قبل هذه الساعة فقط (0-24)
Login After,تسجيل الدخول بعد
Target  Amount,المبلغ المستهدف
Amount Difference,فرق المبلغ
Current Amount,المبلغ الحالي
Confirmation Date,بداية العقد
Applicable Holiday List,قائمة العطلات السارية
Notice (days),إشعار (أيام)
Please enter Preferred Contact Email,الرجاء إدخال البريد الكتروني المفضل للاتصال
Supplier Invoice Date cannot be greater than Posting Date,تاريخ فاتورة المورد لا يمكن أن تكون أكبر من تاريخ الإنشاء
"Username should not contain any special characters other than letters, numbers and underscore",يجب أن لا يحتوي اسم المستخدم علي أي حروف خاصة غير الأحرف والأرقام والشرطة السفلية
Row {0}# Account must be of type 'Fixed Asset',أصل ثابت`
Is Sample Item,هل هو صنف عينة
Is Subcontracted,تعاقد فرعي ؟
Organization Profile,بيانات المؤسسة
Contact Details,بيانات الإتصال
Next Depreciation Date cannot be before Purchase Date,تاريخ الاستهلاك لا يمكن أن يكون قبل تاريخ الشراء
Invalid Email: {0},البريد الالكتروني غير صالح
Prefered Contact Email,البريد الكتروني المفضل للاتصال
Make a new {0},انشئ {0} جديد
Major/Optional Subjects,المواضيع الرئيسية/الاختيارية
History In Company,تاريخ العمل في الشركة
Mins to first response,دقائق أول رد
No {0} found,لا يوجد بيانات لـ {0}
Item {0} must be a non-stock item,الصنف {0} يجب ألا يكون صنف مخزن
Date of Birth cannot be greater than today.,تاريخ الميلاد لا يمكن أن يكون أكبر من تاريخ اليوم.
"Mandatory fields required in table {0}, Row {1}",الحقول الالزامية في جدول {0} صف رقم {1} مطلوبة
Cash or Bank Account is mandatory for making payment entry,الحساب النقدي أو البنكي مطلوب لعمل مدخل بيع
Mark Absent,تسجيل غياب
"Download the Template, fill appropriate data and attach the modified file.
All dates and employee combination in the selected period will come in the template, with existing attendance records",قم بتنزيل القالب ، وقم بتعبئة البيانات المناسبة وقم بإرفاق الملف المعدل. ستاتي كافة التواريخ وتركيبه الموظفين في الفترة المحددة في القالب مع سجلات الحضور الموجودة
Not Equals,لا تساوي
Hide Filters,إخفاء مرشحات
Remove,إزالة المرشح
Edit DocType,تعديل القائمة
Approved,موافق
Half Day Date,تاريخ نصف يوم
Clear Table,إفراغ الجدول
Get Weekly Off Dates,الحصول على مواعيد العطل الأسبوعية
Monday,الإثنين
Invalid Filter,ترشيح غير صالح
New Leaves Allocated,حجز إجازات جديدة
Total allocated leaves are more than days in the period,مجموع اﻹجازات المخصصة هي أكثر من الأيام في الفترة المحددة
created,أنشأ
Invalid date,تاريخ غير صالح
CC,نسخة
Leave blank if considered for all departments,تترك فارغة إذا كانت لجميع الأقسام
Carry Forward,ترحيل رصيد الإجازات
New Leaves Allocated (In Days),اﻹجازات الجديدة المخصصة (بالأيام)
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,الرجاء اختيار ترحيل رصيد اﻹجازات إذا كنت ترغب في تضمين رصيد إجازات السنة السابقة إلى هذه السنة
Leave Block List Name,اسم قائمة الإجازات المحظورة
Salary Structure Missing,هيكلية الراتب مفقودة
No active or default Salary Structure found for employee {0} for the given dates,لم يتم العثور على أي نشاط أو هيكل راتب إفتراضي للموظف {0} للتواريخ المدخلة
net pay info,معلومات صافي الأجر
Gross Pay - Total Deduction - Loan Repayment,إجمالي البدلات - مجموع الخصومات - سداد القروض
Salary Slip Based on Timesheet,تعريف الراتب بناءاً على الجدول الزمني
Next Contact By cannot be same as the Lead Email Address,ايميل التواصل يجب أن يكون مختلفا عن عنوان البريد الالكتروني الرئيسي
Net Pay (in words) will be visible once you save the Salary Slip.,صافي الأجر (كتابةََ) سوف يظهر بعد حفظ قسيمة الراتب.
Total in words,صافي الأجر (كتابةََ)
Send me a copy,إرسال نسخة الى بريدي
Lead Owner cannot be same as the Lead,مسئول مبادرة البيع لا يمكن أن يكون نفس المسئول(اسم الشخص)
CC & Standard Reply,نسخة & الرد القياسي
Next Contact Date cannot be in the past,تاريخ التواصل التالي لا يمكن أن يكون قبل تاريخ اليوم
"{0}: Employee email not found, hence email not sent",{0} : البريد الإلكتروني للموظف غير موجود، وبالتالي لم يتم إرسال البريد الإلكتروني
"Email Address must be unique, already exists for {0}",البريد الالكتروني يجب أن يكون فريد، البريد المدخل موجود بالفعل لـ {0}
Opportunity From field is mandatory,خانة الفرصة من الزامي
"Cannot declare as lost, because Quotation has been made.",لا يمكن أن تعرف كمفقود، لأنه تم تقديم عرض السعر
Customer is mandatory if 'Opportunity From' is selected as Customer,"العميل الزامي اذا تم اختيار ""فرصة من"" كعميل"
Please set User ID field in an Employee record to set Employee Role,الرجاء تعيين حقل معرف المستخدم في سجل الموظف لتعيين دور الموظف
Date of Joining must be greater than Date of Birth,تاريخ اﻹنضمام يجب أن يكون أكبر من تاريخ الميلاد
Taxes and Charges Calculation,حساب الضرائب والرسوم
Date Of Retirement must be greater than Date of Joining,تاريخ التقاعد يجب أن يكون أكبر من تاريخ اﻹنضمام
Relieving Date must be greater than Date of Joining,تاريخ انتهاء الخدمة يجب أن يكون أكبر من تاريخ اﻹنضمام
Contract End Date must be greater than Date of Joining,تاريخ نهاية العقد يجب أن يكون أكبر من تاريخ اﻹنضمام
Cannot set as Lost as Sales Order is made.,لا يمكن أن تعين كخسارة لأنه تم تقديم أمر البيع.
Please enter relieving date.,يرجى إدخال تاريخ انتهاء الخدمة
User {0} does not exist,المستخدم {0} غير موجود
User {0} is disabled,تم تعطيل المستخدم {0}
Employee cannot report to himself.,الموظف لا يمكن أن يقدم تقريرا إلى نفسه.
Please set a default Holiday List for Employee {0} or Company {1},يرجى تعيين قائمة العطل الافتراضية للموظف {0} أو الشركة {1}
Show tax break-up,إظهار مقتطعات الرسوم
Please setup Employee Naming System in Human Resource > HR Settings,الرجاء إعداد نظام تسمية الموظف من قائمة الموارد البشرية> إعدادات الموارد البشرية
Taxes and Charges Added,الضرائب والرسوم المضافة
Attendance for employee {0} is already marked,تم تسجيل الحضور للموظف {0} بالفعل
undefined,غير محدد
Employee {0} was on leave on {1}. Cannot mark attendance.,الموظف {0} كان في إجازة في {1}. لا يمكن إدخال الحضور.
Attendance can not be marked for future dates,لا يمكن إدخال الحضور للتواريخ المستقبلية
Employee {0} is not active or does not exist,الموظف {0} غير نشط أو غير موجود
Message Sent,تم إرسال الرسالة
Please select a csv file,الرجاء تحديد ملف csv
UOM Conversion Factor is mandatory,معامل التحويل الuom الزامي.
Payment From / To,الدفع من / إلى
